IssuesNumber, NewNegotiation, NewOffer, Accept
1,84392, 72777, 44008
2,69392, 93029, 44020
3,69392, 113269, 44020
4,69392, 133509, 44020
5,69392, 153749, 44020
6,69392, 173988, 44020
7,69392, 194228, 44020
8,69392, 214468, 44020
9,69392, 234708, 44020
10,69392, 254948, 44020
11,69392, 275188, 44020
12,69392, 295428, 44020
13,69392, 315667, 44020
14,69392, 335907, 44020
15,69392, 356147, 44020
16,69392, 376387, 44020
17,69392, 396628, 44020
18,69392, 416868, 44020
19,69392, 437107, 44020
20,69392, 457347, 44020
21,69392, 477587, 44020
22,69392, 497827, 44020
23,69392, 518067, 44020
24,69392, 538307, 44020
25,69392, 558547, 44020
